Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
101124639,Bright Young Women,Jessica Knoll,"Knoll, Jessica",,"=""1501153226""","=""9781501153228""",0,4.02,S&S/ Marysue Rucci Books,Hardcover,384,2023,2023,,2023/12/06,to-read,to-read (#87),to-read,,,,0,0
123027751,"Six Scorched Roses (Crowns of Nyaxia, #1.5)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",3,4.26,,Kindle Edition,187,2023,2023,2024/02/27,2024/02/26,,,read,,,,1,0
53137893,The Wife Upstairs,Rachel Hawkins,"Hawkins, Rachel",,"=""1250245494""","=""9781250245496""",3,3.74,St. Martin's Press,Hardcover,290,2021,2021,2024/02/26,2024/02/22,,,read,,,,1,0
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""0593492919""","=""9780593492918""",0,4.05,Pamela Dorman Books,Hardcover,340,2024,2024,2024/02/15,2024/02/15,,,read,,,,1,0
52857700,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681193094""","=""9781681193090""",5,4.21,Bloomsbury Publishing,ebook,835,2024,2024,2024/02/14,2023/08/20,,,read,,,,1,0
123429195,That's Not My Name,Megan Lally,"Lally, Megan",,"=""1728270111""","=""9781728270111""",3,4.12,Sourcebooks Fire,Paperback,297,2023,2023,2024/02/11,2024/02/05,,,read,,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.65,Bloomsbury Publishing,Paperback,626,2020,2016,2023/01/12,2023/01/07,god-tier,god-tier (#5),read,,,,2,0
63133205,The Woman in Me,Britney Spears,"Spears, Britney",,"=""1668009048""","=""9781668009048""",0,3.86,Gallery Books,Hardcover,288,2023,2023,2024/01/17,2024/01/05,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""""","=""""",0,4.63,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2024/01/10,to-read,to-read (#86),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",5,4.19,Bloomsbury Publishing,Paperback,419,2020,2015,2023/01/02,2023/01/02,,,read,,,,2,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.03,Simon & Schuster,Hardcover,335,2018,2018,,2023/02/23,to-read,to-read (#85),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",5,4.46,Simon & Schuster,ebook,320,2022,2022,2024/01/02,2023/12/31,,,read,,,,1,0
13235686,Active Hope: How to Face the Mess We're in without Going Crazy,Joanna Macy,"Macy, Joanna",Chris Johnstone,"=""1577319729""","=""9781577319726""",5,4.11,New World Library,Paperback,272,2012,2012,2023/12/31,2023/10/18,,,read,,,,1,0
